b00,b01,u0,b10,b11,u1
0.0,0.0,1.0,0.5,0.3,0.2
0.0,0.0,1.0,0.51,0.29,0.2
0.0,0.0,1.0,0.52,0.28,0.2
0.0,0.0,1.0,0.53,0.27,0.2
0.0,0.0,1.0,0.54,0.26,0.2
0.0,0.0,1.0,0.55,0.25,0.2
0.0,0.0,1.0,0.56,0.24,0.2
0.0,0.0,1.0,0.57,0.23,0.2
0.0,0.0,1.0,0.58,0.22,0.2
0.0,0.0,1.0,0.59,0.21,0.2
0.0,0.0,1.0,0.6,0.2,0.2
0.0,0.0,1.0,0.61,0.19,0.2
0.0,0.0,1.0,0.62,0.18,0.2
0.0,0.0,1.0,0.63,0.17,0.2
0.0,0.0,1.0,0.64,0.16,0.2
0.0,0.0,1.0,0.65,0.15,0.2
0.0,0.0,1.0,0.66,0.14,0.2
0.0,0.0,1.0,0.67,0.13,0.2
0.0,0.0,1.0,0.68,0.12,0.2
0.0,0.0,1.0,0.69,0.11,0.2
0.0,0.0,1.0,0.7,0.1,0.2
