b00,b01,u0,b10,b11,u1
0.7,0.0,0.3,0.0,0.98,0.02
0.7,0.0,0.3,0.01,0.97,0.02
0.7,0.0,0.3,0.02,0.96,0.02
0.7,0.0,0.3,0.03,0.95,0.02
0.7,0.0,0.3,0.04,0.94,0.02
0.7,0.0,0.3,0.05,0.93,0.02
0.7,0.0,0.3,0.06,0.92,0.02
0.7,0.0,0.3,0.07,0.91,0.02
0.7,0.0,0.3,0.08,0.9,0.02
0.7,0.0,0.3,0.09,0.89,0.02
0.7,0.0,0.3,0.1,0.88,0.02
0.7,0.0,0.3,0.11,0.87,0.02
0.7,0.0,0.3,0.12,0.86,0.02
0.7,0.0,0.3,0.13,0.85,0.02
0.7,0.0,0.3,0.14,0.84,0.02
0.7,0.0,0.3,0.15,0.83,0.02
0.7,0.0,0.3,0.16,0.82,0.02
0.7,0.0,0.3,0.17,0.81,0.02
0.7,0.0,0.3,0.18,0.8,0.02
0.7,0.0,0.3,0.19,0.79,0.02
0.7,0.0,0.3,0.2,0.78,0.02
